timestamp,localized,ambient_long,infrared_long,red_long,ambient_short,infrared_short,red_short
1691724027528,2023-08-10T20:20:27.528(UTC-07:00),-1945646,5549674,4150043,-2332158,5281929,5296711
1691724027564,2023-08-10T20:20:27.564(UTC-07:00),-1947688,,4154596,-2334228,,5281652
1691724027595,2023-08-10T20:20:27.595(UTC-07:00),,5548190,4149669,,5283448,5283174
1691724027640,2023-08-10T20:20:27.640(UTC-07:00),-1954539,5550249,,-2335509,5284184,
1691724027670,2023-08-10T20:20:27.670(UTC-07:00),-1943933,5555387,4156488,-2322753,5270875,5283908
1691724027715,2023-08-10T20:20:27.715(UTC-07:00),-1947617,,4137002,-2326266,,5270597
1691724027752,2023-08-10T20:20:27.752(UTC-07:00),,5548344,4147991,,5273833,5273558
1691724027782,2023-08-10T20:20:27.782(UTC-07:00),-1951533,5556527,,-2325854,5272872,
1691724027819,2023-08-10T20:20:27.819(UTC-07:00),-1949874,5555117,4141641,-2323807,5270273,5272595
1691724027857,2023-08-10T20:20:27.857(UTC-07:00),-1944975,,4133305,-2320318,,5269997
1691724027902,2023-08-10T20:20:27.902(UTC-07:00),,5553628,4135335,,5266232,5265955
1691724027932,2023-08-10T20:20:27.932(UTC-07:00),-1950773,5554687,,-2321683,5267045,
1691724027977,2023-08-10T20:20:27.977(UTC-07:00),-1951322,5557326,4144073,-2321170,5265976,5266766
1691724028015,2023-08-10T20:20:28.015(UTC-07:00),-1948638,,4134614,-2318788,,5265698
1691724028053,2023-08-10T20:20:28.053(UTC-07:00),,5563688,4144146,,5263039,5262758
1691724028089,2023-08-10T20:20:28.089(UTC-07:00),-1945756,5564856,,-2311394,5255084,
1691724028120,2023-08-10T20:20:28.120(UTC-07:00),-1946160,5557562,4141732,-2312376,5255505,5254802
1691724028157,2023-08-10T20:20:28.157(UTC-07:00),-1946534,,4136795,-2320450,,5255225
1691724028195,2023-08-10T20:20:28.195(UTC-07:00),,5565646,4126348,,5263023,5262752
1691724028232,2023-08-10T20:20:28.232(UTC-07:00),-1948616,5564182,,-2353200,5295237,
1691724028263,2023-08-10T20:20:28.263(UTC-07:00),-1957513,5562629,4146004,-2365674,5307194,5294977
1691724028299,2023-08-10T20:20:28.299(UTC-07:00),-1964784,,4151079,-2372845,,5306934
1691724028330,2023-08-10T20:20:28.330(UTC-07:00),,5563531,4156332,,5313847,5313589
1691724028375,2023-08-10T20:20:28.375(UTC-07:00),-1962495,5558710,,-2375278,5315767,
1691724028412,2023-08-10T20:20:28.412(UTC-07:00),-1960623,5557815,4162281,-2370408,5310383,5315510
1691724028443,2023-08-10T20:20:28.443(UTC-07:00),-1965385,,4157567,-2361251,,5310121
1691724028487,2023-08-10T20:20:28.487(UTC-07:00),,5550624,4146753,,5300705,5300446
1691724028518,2023-08-10T20:20:28.518(UTC-07:00),-1959291,5557395,,-2362489,5301424,
1691724028554,2023-08-10T20:20:28.554(UTC-07:00),-1960918,5555703,4153540,-2353187,5291595,5301161
1691724028585,2023-08-10T20:20:28.585(UTC-07:00),-1958398,,4149416,-2346808,,5291331
1691724028622,2023-08-10T20:20:28.622(UTC-07:00),,5549483,4145106,,5284688,5284421
1691724028653,2023-08-10T20:20:28.653(UTC-07:00),-1950234,5538213,,-2340115,5277461,
1691724028690,2023-08-10T20:20:28.690(UTC-07:00),-1960566,5553515,4135368,-2345953,5282765,5277193
1691724028727,2023-08-10T20:20:28.727(UTC-07:00),-1955223,,4153415,-2326598,,5282494
1691724028758,2023-08-10T20:20:28.758(UTC-07:00),,5546511,4118362,,5262868,5262594
1691724028794,2023-08-10T20:20:28.794(UTC-07:00),-1953521,5535816,,-2325937,5261661,
1691724028833,2023-08-10T20:20:28.833(UTC-07:00),-1965017,5536971,4120393,-2328256,5263437,5261388
1691724028892,2023-08-10T20:20:28.892(UTC-07:00),-1961103,,4122341,-2321273,,5263164
1691724028923,2023-08-10T20:20:28.923(UTC-07:00),,5545291,4124766,,5255908,5255632
1691724028997,2023-08-10T20:20:28.997(UTC-07:00),-1952132,5545233,,-2316367,5250452,
1691724029034,2023-08-10T20:20:29.034(UTC-07:00),-1958381,5556475,4125742,-2322987,5256526,5250178
1691724029072,2023-08-10T20:20:29.072(UTC-07:00),-1956775,,4137520,-2316089,,5256247
1691724029125,2023-08-10T20:20:29.125(UTC-07:00),,5543336,4101263,,5249074,5248807
1691724029169,2023-08-10T20:20:29.169(UTC-07:00),-1963132,5541466,,-2347751,5280208,
1691724029208,2023-08-10T20:20:29.208(UTC-07:00),-1974284,5539101,4125631,-2371144,5303087,5279948
1691724029252,2023-08-10T20:20:29.252(UTC-07:00),-1959642,,4146322,-2362713,,5302829
1691724029283,2023-08-10T20:20:29.283(UTC-07:00),,5521482,4136562,,5294143,5293891
1691724029319,2023-08-10T20:20:29.319(UTC-07:00),-1969573,5529061,,-2370321,5301246,
1691724029350,2023-08-10T20:20:29.350(UTC-07:00),-1964609,5521837,4142521,-2358172,5288578,5300984
1691724029387,2023-08-10T20:20:29.387(UTC-07:00),-1961346,,4137402,-2356929,,5288320
1691724029425,2023-08-10T20:20:29.425(UTC-07:00),,5514074,4136563,,5286821,5286565
1691724029462,2023-08-10T20:20:29.462(UTC-07:00),-1964856,5525747,,-2360048,5289426,
1691724029499,2023-08-10T20:20:29.499(UTC-07:00),-1959354,5522745,4142373,-2352655,5281517,5289168
1691724029538,2023-08-10T20:20:29.538(UTC-07:00),-1959614,,4130566,-2342318,,5281256
1691724029575,2023-08-10T20:20:29.575(UTC-07:00),,5511319,4124501,,5270655,5270391
1691724029605,2023-08-10T20:20:29.605(UTC-07:00),-1966098,5525374,,-2346373,5274183,
1691724029642,2023-08-10T20:20:29.642(UTC-07:00),-1965712,5510830,4131293,-2341997,5269283,5273919
1691724029673,2023-08-10T20:20:29.673(UTC-07:00),-1964445,,4128183,-2332027,,5269016
1691724029709,2023-08-10T20:20:29.709(UTC-07:00),,5513467,4124596,,5258779,5258507
1691724029740,2023-08-10T20:20:29.740(UTC-07:00),-1951350,5500758,,-2309570,5235776,
1691724029777,2023-08-10T20:20:29.777(UTC-07:00),-1950580,5484191,4112506,-2293503,5219153,5235497
1691724029808,2023-08-10T20:20:29.808(UTC-07:00),-1959945,,4097783,-2293184,,5218872
1691724029844,2023-08-10T20:20:29.844(UTC-07:00),,5485793,4090736,,5218272,5217988
1691724029875,2023-08-10T20:20:29.875(UTC-07:00),-1949999,5487192,,-2281225,5205748,
1691724029912,2023-08-10T20:20:29.912(UTC-07:00),-1945452,5499621,4085225,-2284634,5208592,5205465
1691724029943,2023-08-10T20:20:29.943(UTC-07:00),-1943839,,4093471,-2281388,,5208309
1691724029979,2023-08-10T20:20:29.979(UTC-07:00),,5485729,4077698,,5204781,5204505
1691724030010,2023-08-10T20:20:30.010(UTC-07:00),-1962108,5500357,,-2327891,5250743,
1691724030048,2023-08-10T20:20:30.048(UTC-07:00),-1966766,5489953,4106234,-2344616,5266945,5250480
1691724030084,2023-08-10T20:20:30.084(UTC-07:00),-1963057,,4104878,-2361771,,5266688
1691724030115,2023-08-10T20:20:30.115(UTC-07:00),,5491944,4121884,,5283591,5283340
1691724030159,2023-08-10T20:20:30.159(UTC-07:00),-1970275,5486094,,-2370078,5291397,
1691724030190,2023-08-10T20:20:30.190(UTC-07:00),-1975467,5485516,4123887,-2371033,5291854,5291147
1691724030227,2023-08-10T20:20:30.227(UTC-07:00),-1975914,,4115530,-2376622,,5291607
1691724030258,2023-08-10T20:20:30.258(UTC-07:00),,5495172,4128320,,5296948,5296702
1691724030294,2023-08-10T20:20:30.294(UTC-07:00),-1978730,5500424,,-2380246,5300080,
1691724030325,2023-08-10T20:20:30.325(UTC-07:00),-1969748,5497024,4131648,-2368301,5287638,5299832
1691724030362,2023-08-10T20:20:30.362(UTC-07:00),-1970891,,4125915,-2364743,,5287386
1691724030393,2023-08-10T20:20:30.393(UTC-07:00),,5497539,4124726,,5283578,5283327
1691724030429,2023-08-10T20:20:30.429(UTC-07:00),-1969138,5501166,,-2364412,5282746,
1691724030460,2023-08-10T20:20:30.460(UTC-07:00),-1969919,5507129,4128338,-2355518,5273348,5282495
1691724030497,2023-08-10T20:20:30.497(UTC-07:00),-1971080,,4122099,-2363289,,5273094
1691724030527,2023-08-10T20:20:30.527(UTC-07:00),,5518563,4132210,,5280614,5280358
1691724030572,2023-08-10T20:20:30.572(UTC-07:00),-1964341,5510225,,-2345920,5262733,
1691724030602,2023-08-10T20:20:30.602(UTC-07:00),-1969640,5515510,4120581,-2343659,5259957,5262476
1691724030639,2023-08-10T20:20:30.639(UTC-07:00),-1960606,,4119917,-2335634,,5259698
1691724030670,2023-08-10T20:20:30.670(UTC-07:00),,5509782,4118032,,5251413,5251156
1691724030707,2023-08-10T20:20:30.707(UTC-07:00),-1964992,5519484,,-2343460,5258726,
1691724030737,2023-08-10T20:20:30.737(UTC-07:00),-1970346,5528166,4122657,-2344673,5259423,5258468
1691724030774,2023-08-10T20:20:30.774(UTC-07:00),-1970022,,4113701,-2350069,,5259165
1691724030805,2023-08-10T20:20:30.805(UTC-07:00),,5505216,4108203,,5264310,5264061
1691724030842,2023-08-10T20:20:30.842(UTC-07:00),-1981300,5503363,,-2378425,5292173,
1691724030873,2023-08-10T20:20:30.873(UTC-07:00),-1981338,5485038,4128651,-2390685,5303948,5291928
1691724030909,2023-08-10T20:20:30.909(UTC-07:00),-1983909,,4130070,-2388343,,5303709
1691724030940,2023-08-10T20:20:30.940(UTC-07:00),,5476446,4124873,,5301128,5300887
1691724030984,2023-08-10T20:20:30.984(UTC-07:00),-1978344,5481539,,-2395922,5308226,
1691724031015,2023-08-10T20:20:31.015(UTC-07:00),-1972503,5468313,4136185,-2374394,5286213,5307983
1691724031052,2023-08-10T20:20:31.052(UTC-07:00),-1975083,,4105694,-2373668,,5285970
1691724031090,2023-08-10T20:20:31.090(UTC-07:00),,5473561,4111188,,5284999,5284751
1691724031127,2023-08-10T20:20:31.127(UTC-07:00),-1981211,5476716,,-2374159,5284997,
1691724031158,2023-08-10T20:20:31.158(UTC-07:00),-1981676,5473299,4113307,-2374057,5284407,5284753
1691724031194,2023-08-10T20:20:31.194(UTC-07:00),-1983229,,4118396,-2381812,,5284160
1691724031225,2023-08-10T20:20:31.225(UTC-07:00),,5477490,4127011,,5291672,5291427
1691724031262,2023-08-10T20:20:31.262(UTC-07:00),-1973731,5470446,,-2365907,5275277,
1691724031293,2023-08-10T20:20:31.293(UTC-07:00),-1980119,5491177,4117532,-2368768,5277645,5275031
1691724031329,2023-08-10T20:20:31.329(UTC-07:00),-1981285,,4119173,-2364659,,5277394
1691724031360,2023-08-10T20:20:31.360(UTC-07:00),,5476800,4112229,,5273036,5272786
1691724031397,2023-08-10T20:20:31.397(UTC-07:00),-1975827,5481301,,-2356657,5264534,
1691724031427,2023-08-10T20:20:31.427(UTC-07:00),-1975501,5490070,4101773,-2361917,5269292,5264282
1691724031464,2023-08-10T20:20:31.464(UTC-07:00),-1968979,,4121748,-2346054,,5269040
1691724031495,2023-08-10T20:20:31.495(UTC-07:00),,5472825,4098703,,5252926,5252674
1691724031533,2023-08-10T20:20:31.533(UTC-07:00),-1968502,5486838,,-2346656,5253024,
1691724031563,2023-08-10T20:20:31.563(UTC-07:00),-1975771,5498205,4102048,-2354517,5260382,5252772
1691724031600,2023-08-10T20:20:31.600(UTC-07:00),-1983013,,4109302,-2367151,,5260135
1691724031630,2023-08-10T20:20:31.630(UTC-07:00),,5519186,4124878,,5272523,5272277
1691724031667,2023-08-10T20:20:31.667(UTC-07:00),-1978013,5512086,,-2366918,5271800,
1691724031698,2023-08-10T20:20:31.698(UTC-07:00),-1983389,5498799,4108574,-2388611,5293017,5271558
1691724031742,2023-08-10T20:20:31.742(UTC-07:00),-1991552,,4105338,-2412078,,5292787
1691724031772,2023-08-10T20:20:31.772(UTC-07:00),,5498074,4128882,,5316026,5315796
1691724031810,2023-08-10T20:20:31.810(UTC-07:00),-1993312,5493980,,-2423828,5327322,
1691724031840,2023-08-10T20:20:31.840(UTC-07:00),-1997781,5484957,4128782,-2423412,5326461,5327098
1691724031877,2023-08-10T20:20:31.877(UTC-07:00),-2001832,,4127903,-2427059,,5326239
1691724031908,2023-08-10T20:20:31.908(UTC-07:00),,5490596,4134273,,5329664,5329440
1691724031944,2023-08-10T20:20:31.944(UTC-07:00),-2000649,5485294,,-2423111,5325271,
1691724031975,2023-08-10T20:20:31.975(UTC-07:00),-1992259,5491186,4130692,-2421522,5323235,5325048
1691724032012,2023-08-10T20:20:32.012(UTC-07:00),-1988922,,4136024,-2414900,,5323011
1691724032043,2023-08-10T20:20:32.043(UTC-07:00),,5486845,4131725,,5316162,5315937
1691724032079,2023-08-10T20:20:32.079(UTC-07:00),-1988336,5497447,,-2420758,5321573,
1691724032110,2023-08-10T20:20:32.110(UTC-07:00),-1998243,5504197,4130470,-2427819,5328188,5321350
1691724032148,2023-08-10T20:20:32.148(UTC-07:00),-1994845,,4147476,-2417493,,5327962
1691724032178,2023-08-10T20:20:32.178(UTC-07:00),,5498937,4122738,,5317412,5317183
1691724032214,2023-08-10T20:20:32.214(UTC-07:00),-1999220,5504490,,-2410312,5309773,
1691724032253,2023-08-10T20:20:32.253(UTC-07:00),-1982300,5479221,4134559,-2384516,5283509,5309540
1691724032290,2023-08-10T20:20:32.290(UTC-07:00),-1984951,,4112859,-2385859,,5283274
1691724032320,2023-08-10T20:20:32.320(UTC-07:00),,5503446,4125407,,5284383,5284145
1691724032357,2023-08-10T20:20:32.357(UTC-07:00),-1981343,5511915,,-2377083,5275130,
1691724032388,2023-08-10T20:20:32.388(UTC-07:00),-1973176,5505749,4123607,-2359142,5256705,5274889
