timestamp,localized,heg,red,infrared
1691724027528,2023-08-10T20:20:27.528(UTC-07:00),0.869,9446754,10854641
1691724027564,2023-08-10T20:20:27.564(UTC-07:00),0.869,9436248,10831603
1691724027640,2023-08-10T20:20:27.640(UTC-07:00),0.870,9432843,10831638
1691724027670,2023-08-10T20:20:27.670(UTC-07:00),0.870,9440396,10834433
1691724027715,2023-08-10T20:20:27.715(UTC-07:00),0.870,9407599,10826262
1691724027782,2023-08-10T20:20:27.782(UTC-07:00),0.870,9421549,10822177
1691724027819,2023-08-10T20:20:27.819(UTC-07:00),0.870,9414236,10829399
1691724027857,2023-08-10T20:20:27.857(UTC-07:00),0.870,9403302,10825390
1691724027932,2023-08-10T20:20:27.932(UTC-07:00),0.870,9401290,10819860
1691724027977,2023-08-10T20:20:27.977(UTC-07:00),0.870,9410839,10821732
1691724028015,2023-08-10T20:20:28.015(UTC-07:00),0.870,9400312,10823302
1691724028089,2023-08-10T20:20:28.089(UTC-07:00),0.870,9406904,10826727
1691724028120,2023-08-10T20:20:28.120(UTC-07:00),0.870,9396534,10819940
1691724028157,2023-08-10T20:20:28.157(UTC-07:00),0.869,9392020,10813067
1691724028232,2023-08-10T20:20:28.232(UTC-07:00),0.869,9389100,10828669
1691724028263,2023-08-10T20:20:28.263(UTC-07:00),0.869,9440981,10859419
1691724028299,2023-08-10T20:20:28.299(UTC-07:00),0.870,9458013,10869823
1691724028375,2023-08-10T20:20:28.375(UTC-07:00),0.870,9469921,10877378
1691724028412,2023-08-10T20:20:28.412(UTC-07:00),0.870,9477791,10874477
1691724028443,2023-08-10T20:20:28.443(UTC-07:00),0.870,9467688,10868198
1691724028518,2023-08-10T20:20:28.518(UTC-07:00),0.870,9447199,10851329
1691724028554,2023-08-10T20:20:28.554(UTC-07:00),0.870,9454701,10858819
1691724028585,2023-08-10T20:20:28.585(UTC-07:00),0.870,9440747,10847298
1691724028653,2023-08-10T20:20:28.653(UTC-07:00),0.870,9429527,10834171
1691724028690,2023-08-10T20:20:28.690(UTC-07:00),0.870,9412561,10815674
1691724028727,2023-08-10T20:20:28.727(UTC-07:00),0.870,9435909,10836280
1691724028794,2023-08-10T20:20:28.794(UTC-07:00),0.870,9380956,10809379
1691724028833,2023-08-10T20:20:28.833(UTC-07:00),0.870,9381781,10797477
1691724028892,2023-08-10T20:20:28.892(UTC-07:00),0.870,9385505,10800408
1691724028997,2023-08-10T20:20:28.997(UTC-07:00),0.870,9380398,10801199
1691724029034,2023-08-10T20:20:29.034(UTC-07:00),0.870,9375920,10795685
1691724029072,2023-08-10T20:20:29.072(UTC-07:00),0.869,9393767,10813001
1691724029169,2023-08-10T20:20:29.169(UTC-07:00),0.869,9350070,10792410
1691724029208,2023-08-10T20:20:29.208(UTC-07:00),0.869,9405579,10821674
1691724029252,2023-08-10T20:20:29.252(UTC-07:00),0.870,9449151,10842188
1691724029319,2023-08-10T20:20:29.319(UTC-07:00),0.870,9430453,10815625
1691724029350,2023-08-10T20:20:29.350(UTC-07:00),0.870,9443505,10830307
1691724029387,2023-08-10T20:20:29.387(UTC-07:00),0.870,9425722,10810415
1691724029462,2023-08-10T20:20:29.462(UTC-07:00),0.870,9423128,10800895
1691724029499,2023-08-10T20:20:29.499(UTC-07:00),0.870,9431541,10815173
1691724029538,2023-08-10T20:20:29.538(UTC-07:00),0.870,9411822,10804262
1691724029605,2023-08-10T20:20:29.605(UTC-07:00),0.870,9394892,10781974
1691724029642,2023-08-10T20:20:29.642(UTC-07:00),0.870,9405212,10799557
1691724029673,2023-08-10T20:20:29.673(UTC-07:00),0.870,9397199,10780113
1691724029740,2023-08-10T20:20:29.740(UTC-07:00),0.870,9383103,10772246
1691724029777,2023-08-10T20:20:29.777(UTC-07:00),0.870,9348003,10736534
1691724029808,2023-08-10T20:20:29.808(UTC-07:00),0.870,9316655,10703344
1691724029875,2023-08-10T20:20:29.875(UTC-07:00),0.870,9308724,10704065
1691724029912,2023-08-10T20:20:29.912(UTC-07:00),0.870,9290690,10692940
1691724029943,2023-08-10T20:20:29.943(UTC-07:00),0.870,9301780,10708213
1691724030010,2023-08-10T20:20:30.010(UTC-07:00),0.870,9282203,10690510
1691724030048,2023-08-10T20:20:30.048(UTC-07:00),0.870,9356714,10751100
1691724030084,2023-08-10T20:20:30.084(UTC-07:00),0.870,9371566,10756898
1691724030159,2023-08-10T20:20:30.159(UTC-07:00),0.870,9405224,10775535
1691724030190,2023-08-10T20:20:30.190(UTC-07:00),0.870,9415034,10777491
1691724030227,2023-08-10T20:20:30.227(UTC-07:00),0.870,9407137,10777370
1691724030294,2023-08-10T20:20:30.294(UTC-07:00),0.871,9425022,10792120
1691724030325,2023-08-10T20:20:30.325(UTC-07:00),0.871,9431480,10800504
1691724030362,2023-08-10T20:20:30.362(UTC-07:00),0.871,9413301,10784662
1691724030429,2023-08-10T20:20:30.429(UTC-07:00),0.871,9408053,10781117
1691724030460,2023-08-10T20:20:30.460(UTC-07:00),0.871,9410833,10783912
1691724030497,2023-08-10T20:20:30.497(UTC-07:00),0.871,9395193,10780477
1691724030572,2023-08-10T20:20:30.572(UTC-07:00),0.871,9412568,10799177
1691724030602,2023-08-10T20:20:30.602(UTC-07:00),0.871,9383057,10772958
