timestamp,localized,hr,hrv,height0,height1
1691724027857,2023-08-10T20:20:27.857(UTC-07:00),68.337,37.748,0.000,0.000
1691724028653,2023-08-10T20:20:28.653(UTC-07:00),68.966,39.539,0.000,0.000
1691724032499,2023-08-10T20:20:32.499(UTC-07:00),12.363,55.974,0.002,0.000
1691724036265,2023-08-10T20:20:36.265(UTC-07:00),22.193,46.772,0.000,0.002
1691724037239,2023-08-10T20:20:37.239(UTC-07:00),69.005,56.642,0.000,0.000
1691724038005,2023-08-10T20:20:38.005(UTC-07:00),80.375,58.182,0.000,0.000
1691724038688,2023-08-10T20:20:38.688(UTC-07:00),81.577,12.572,0.000,0.000
1691724039452,2023-08-10T20:20:39.452(UTC-07:00),73.801,6.574,0.000,0.000
1691724040344,2023-08-10T20:20:40.344(UTC-07:00),57.143,24.434,0.000,0.000
1691724042003,2023-08-10T20:20:42.003(UTC-07:00),26.093,47.708,0.003,0.000
1691724044252,2023-08-10T20:20:44.252(UTC-07:00),40.418,16.725,0.001,0.003
1691724045077,2023-08-10T20:20:45.077(UTC-07:00),72.376,46.284,0.000,0.001
1691724046037,2023-08-10T20:20:46.037(UTC-07:00),64.516,24.098,0.000,0.000
1691724047739,2023-08-10T20:20:47.739(UTC-07:00),38.388,33.989,0.000,0.000
1691724048084,2023-08-10T20:20:48.084(UTC-07:00),52.106,12.410,0.000,0.000
1691724050200,2023-08-10T20:20:50.200(UTC-07:00),32,6.388,0.004,0.000
1691724051745,2023-08-10T20:20:51.745(UTC-07:00),54.595,2.489,0.001,0.004
1691724056784,2023-08-10T20:20:56.784(UTC-07:00),12.077,19.923,0.000,0.001
1691724057685,2023-08-10T20:20:57.685(UTC-07:00),69.244,14.649,0.000,0.000
1691724058337,2023-08-10T20:20:58.337(UTC-07:00),81.191,69.114,0.000,0.000
1691724059026,2023-08-10T20:20:59.026(UTC-07:00),79.260,10.016,0.001,0.000
1691724059890,2023-08-10T20:20:59.890(UTC-07:00),72.333,8.858,0.000,0.001
1691724061720,2023-08-10T20:21:01.720(UTC-07:00),19.490,59.770,0.001,0.000
1691724064929,2023-08-10T20:21:04.929(UTC-07:00),30.250,42.083,0.001,0.001
1691724065920,2023-08-10T20:21:05.920(UTC-07:00),69.204,49.714,0.001,0.001
1691724066782,2023-08-10T20:21:06.782(UTC-07:00),76.239,45.989,0.000,0.001
1691724067435,2023-08-10T20:21:07.435(UTC-07:00),93.531,24.327,0.000,0.000
1691724068312,2023-08-10T20:21:08.312(UTC-07:00),63.728,12.511,0.000,0.000
1691724069324,2023-08-10T20:21:09.324(UTC-07:00),61.131,32.400,0.000,0.000
1691724069744,2023-08-10T20:21:09.744(UTC-07:00),37.117,26.611,0.002,0.000
1691724072527,2023-08-10T20:21:12.527(UTC-07:00),32.249,28.882,0.001,0.002
1691724073435,2023-08-10T20:21:13.435(UTC-07:00),68.066,30.949,0.001,0.001
1691724074343,2023-08-10T20:21:14.343(UTC-07:00),71.090,38.841,0.000,0.001
1691724075234,2023-08-10T20:21:15.234(UTC-07:00),74.166,6.100,0.000,0.000
1691724076330,2023-08-10T20:21:16.330(UTC-07:00),63.728,7.362,0.000,0.000
1691724076892,2023-08-10T20:21:16.892(UTC-07:00),81.191,7.025,0.000,0.000
1691724077597,2023-08-10T20:21:17.597(UTC-07:00),66.116,2.388,0.001,0.000
1691724078647,2023-08-10T20:21:18.647(UTC-07:00),58.622,22.568,0.000,0.001
1691724079855,2023-08-10T20:21:19.855(UTC-07:00),71.727,5.612,0.000,0.000
1691724080170,2023-08-10T20:21:20.170(UTC-07:00),48.485,10.138,0.001,0.000
1691724082308,2023-08-10T20:21:22.308(UTC-07:00),39.696,32.032,0.000,0.001
1691724083327,2023-08-10T20:21:23.327(UTC-07:00),67.002,18.517,0.000,0.000
1691724084467,2023-08-10T20:21:24.467(UTC-07:00),59.672,19.976,0.000,0.000
1691724087085,2023-08-10T20:21:27.085(UTC-07:00),22.923,44.079,0.000,0.000
1691724087625,2023-08-10T20:21:27.625(UTC-07:00),95.238,35.566,0.000,0.000
1691724088127,2023-08-10T20:21:28.127(UTC-07:00),32.796,9.873,0.002,0.000
1691724091315,2023-08-10T20:21:31.315(UTC-07:00),28.979,66.260,0.001,0.002
